Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Quaking Aspen,Populus tremuloides,Salicaceae,Yes,Yes,Yes,Known for trembling leaves and beautiful golden fall color.,White bark and fluttering round leaves.,Its leaves shake like it's always shivering!,Smooth white bark with black knots; flat leaf stems cause leaf fluttering.,Bigtooth Aspen (*Populus grandidentata*),"Smaller, rounder leaves and stronger flutter",Catkins in early spring; seeds in cottony tufts by early summer,Bright yellow fall color; catkins in spring.,Deciduous,Simple,Alternate,Round with fine teeth,1–3 inches,"Flattened petiole, pale beneath",Golden yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Hanging catkins before leaves,Tiny cottony seeds,Long catkins with seeds,Dangling,Wind,Fresh and slightly sweet,Greenish-white and smooth,Bright white with black scars,White bark and narrow twigs,Upright and narrow,"Open, rounded crown",Alternate,30–60 feet,Fast,Mountain meadows and forest edges,Across North America including Sierras,"5,000–10,000 feet","Cold, sunny, moist soils",Non-toxic
Red Alder,Alnus rubra,Betulaceae,Yes,Yes,Yes,Nitrogen-fixer; used in ecological restoration and woodworking.,Smooth gray bark and toothed oval leaves that roll under.,Its leaves look like spoons and bark like dolphin skin!,Wavy-edged leaves with rusty hairs underneath and persistent woody cones.,White Alder (*Alnus rhombifolia*),Redder bark and larger cones,Catkins in spring; seeds ripen by early summer,Catkins bloom late winter; leaves emerge early spring.,Deciduous,Simple,Alternate,Oval with toothed edge,3–6 inches,"Dull green, serrated",Pale yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Woody cone-like catkins,"0.5–1 inch, woody cones",Twig tips,Wind,Neutral,"Smooth, silvery-gray","Remains smooth, pale gray",Red twigs and persistent cones,Pyramidal,"Tall, rounded crown",Alternate,50–100 feet,Fast,Moist forests and riverbanks,Pacific Northwest and Northern California,"Sea level to 3,000 feet","Cool, moist, coastal",Non-toxic
Red Maple,Acer rubrum,Sapindaceae,Yes,No,Yes,One of the most common and adaptable trees in the U.S.; loved for red fall color.,Three-lobed leaves and bright red twigs and buds.,Its twigs are red like licorice!,"Red petioles, twigs, and buds; small double samaras.",Silver Maple (*Acer saccharinum*),Smaller lobes and more vivid fall color,Flowers in spring; paired samaras ripen in fall,Red flowers in spring; fiery fall foliage.,Deciduous,Simple,Opposite,3–5 lobed,2–4 inches,"Toothed, green with red stems",Brilliant red,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Red flowers before leaves,Small paired winged samaras,Small paired samaras,Hanging in clusters,Wind,Neutral to slightly sweet,Smooth and gray,Scaly and gray-brown,Red stems and opposite buds,Upright and rounded,Broad and spreading,Opposite,40–80 feet,Moderate to fast,Wetlands to uplands,Eastern North America; planted widely,Low to mid elevations,Adaptable to many conditions,Toxic to horses
Red Spruce,Picea rubens,Pinaceae,No,No,Rarely,Eastern conifer used in instruments and reforestation.,Short yellow-green needles and tiny rounded cones.,Its cones look like baby pineapples!,"Sharp, short needles; reddish bark; small rounded cones.",Black Spruce (*Picea mariana*),More flexible branches and shorter needles,Pollen in spring; cones mature in one season,New growth in spring; cones develop mid-summer.,Evergreen,Simple,Spiral,Needle-like,0.5–1 inch,"Short, stiff, dark green",None,Spiraled on twigs,0.5–0.75 inch,"Sharp, yellow-green, 4-sided",Small reddish pollen cones,Short cylindrical cones,"1–1.5 inches, oval",Hanging near ends of twigs,Wind,Resinous and sharp,Smooth reddish-brown,"Flaky, reddish-gray",Short needles and reddish twigs,Narrow pyramid,"Tall, spire-like crown",Horizontal,60–100 feet,Slow to moderate,"Cool, moist mountain forests",Northeastern U.S. and Appalachians,"2,500–6,000 feet","Cold winters, humid summers",Non-toxic
Redwood,Sequoia sempervirens,Cypress,Yes,Yes,Likely,"Iconic in CA, revered by indigenous tribes, historically logged heavily","Tallest trees on Earth, thick fibrous red-brown bark, flattened needles","Look for super tall trees with soft, flat needles and spongy red bark","Extremely tall trunk, 1-inch woody cones, 2-ranked needles","Giant Sequoia (Sequoiadendron giganteum), but redwood is taller and found along coast",Noble Fir has more upward-curving needles. Red Fir cones are barrel-shaped and disintegrate on the tree.,Evergreen; small cones mature late summer–fall; pollination often in winter,"Needles remain green, some older interior sprigs turn brown and drop in fall",Evergreen needles,N/A,Appearing 2-ranked on branchlets (technically alternate),"Linear, flattened",0.5–1 inch,"Dark green above, pale green bands below",Evergreen,2-ranked on lateral shoots,0.5–1 inch,"Soft, linear, slightly tapered",Small pollen cones form in winter; female cones on same branchlets,"Woody, barrel-shaped cones ~1 inch long","~1 inch, oval/barrel-shaped",Singly or clusters at branch tips,"Wind, gravity",Lightly earthy or cedar-like,"Reddish brown, thinner fibrous bark","Very thick, deeply furrowed, fibrous red-brown","Evergreen needles, thick fibrous bark, small cones persist",Narrowly conical,"Very tall, trunk remains columnar, crown high",Mostly horizontal or slightly drooping,70–380+ feet,Fast if moisture is adequate,"Coastal fog belt, moist valleys",Northern California coastal forests,"Generally below ~3,000 feet","Cool, moist environment with frequent fog",Non-toxic if touched; resin or needles could irritate the digestive system if eaten.
Resin Birch,Betula resinifera,Betulaceae,No,No,Rarely,Closely related to paper birch; hardy species of northern North America.,White bark with fine horizontal lines and resinous buds.,Its bark looks like it's been written on with pencil!,"Smooth white bark, toothed leaves, resinous twigs and buds.",Gray Birch (*Betula populifolia*),Sticky buds and small resin glands,Catkins in spring; seeds ripen in summer,Bright yellow fall color; catkins emerge in spring.,Deciduous,Simple,Alternate,Oval to triangular,2–4 inches,"Sticky buds, serrated edge",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender catkins,Tiny winged nutlets,Slender catkins,At twig tips,Wind,"Resinous, sweet",Reddish and smooth,"White, peeling in strips",Sticky buds and reddish twigs,Upright,"Broad, open crown",Alternate,30–50 feet,Moderate,Cool northern forests,Northern Canada and Alaska,Low elevations,"Cold, moist",Non-toxic
River Birch,Betula nigra,Betulaceae,Yes,No,Yes,Valued for its peeling bark and tolerance of wet soils.,"Curly, peeling bark in shades of tan and pink.",Its bark peels like curly ribbons!,"Diamond-shaped leaves, multiple trunks, peeling bark.",Paper Birch (*Betula papyrifera*),Peeling salmon-pink bark and larger size,Catkins in spring; seeds ripen in late summer,Yellow fall leaves; catkins in spring.,Deciduous,Simple,Alternate,Diamond-shaped,2–4 inches,"Double-toothed, pale beneath",Golden yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Red and green catkins,Tiny winged nutlets,Slender catkins with tiny seeds,End of twigs,Wind,Neutral,"Smooth, reddish","Peeling tan, salmon-pink, or brown",Peeling bark and catkin buds,"Multi-stemmed, upright",Spreading with irregular crown,Alternate,40–70 feet,Fast,"Floodplains, riverbanks",Eastern and Southern U.S.; planted in West,Low elevations,"Moist to wet soils, heat tolerant",Non-toxic
Rocky Mountain Maple,Acer glabrum,Sapindaceae,Yes,Yes,Yes,Native shrubby maple used for erosion control and wildlife habitat.,Small tree with reddish twigs and three-lobed leaves.,Its leaves look like mini moose antlers!,"Reddish bark, small lobed leaves, often shrubby growth.",Vine Maple (*Acer circinatum*),"Smaller leaves, often shrubby and high-elevation",Flowers in spring; samaras ripen in summer,Bright yellow or orange fall foliage.,Deciduous,Simple,Opposite,3-lobed or unlobed,1–3 inches,"Small, toothed, sometimes lobed",Yellow to red,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small clusters of yellow-green flowers,Small paired winged samaras,Small paired samaras,Hanging in clusters,Wind,Neutral to slightly sweet,Smooth and reddish,Becomes gray and furrowed,Shrubby growth and opposite buds,Shrubby and upright,Small spreading tree,Opposite,10–25 feet,Moderate,"Canyons, slopes, mixed forests",Rocky Mountains and California,"3,000–10,000 feet","Cool, moist",Non-toxic
Rocky Mountain' Common Douglas-fir,Pseudotsuga menziesii var. glauca,Pine,Yes,Yes,Unlikely,"Rocky Mountain variety found in eastern CA ranges; also used for timber, Xmas trees. More drought/cold tolerant.","Bluish or glaucous tinge to needles, cones with 'mouse tail' bracts, typical Douglas-fir shape.",Like a Douglas-fir but with bluer needles—still see the little mouse tails in the cones!,"Needles have a grayish-blue hue, especially new growth; cones similar to typical Douglas-fir.","Common Douglas-fir (P. menziesii var. menziesii), less blue in color.","Giant Sequoia has thicker trunks and chunkier cones. Coast Redwood is tallest, with thinner, more fibrous bark compared to Sequoia.",Evergreen; pollination in spring; cones mature by late summer/fall; seeds drop in autumn.,"Minimal color changes, new growth can appear very blue.",Evergreen needles,N/A,"Spiral, can appear parted","~1 inch, flattened needle",1–1.5 inches,"Bluish-green, soft, pointed tip",Evergreen,Spirally on twig,1–1.5 inches,"Glaucous bloom, sweet smell","Male cones small, red/yellow; female cones upright then drooping",2–4 inch cones with 3-pronged bracts,"2–4 inches, elongated, bracts protruding",Hanging from branches,Wind,"Fresh, slightly sweet pine with a subtle citrus note","Smooth, grayish, can have resin pockets","Deeply furrowed, thick corky ridges","Evergreen bluish needles, cones with bracts, pointed buds","Pyramidal, strong central stem","Tall, narrower than coastal variety, conical crown",Horizontal or slightly drooping whorls,50–150 feet (in CA; taller in ideal conditions),Moderate to fast,"Montane forests, drier/colder areas than coastal form","Eastern Sierra, northeastern CA mountains","~2,000–9,000 feet","Colder winters, less rainfall, fairly drought tolerant",Generally non-toxic; sawdust can irritate skin or lungs if inhaled.
Rocky Mountain' Common Douglas-fir,Pseudotsuga menziesii var. glauca,Pinaceae,Yes,Yes,Yes,"Smaller, bluer-needled Douglas-fir adapted to drier climates.",Grayish-blue needles and pointy buds.,Its cones have little mouse tails and its needles are blue-green!,"Narrow form, thick bark, bluish needles, distinct cones with bracts.",Coast Douglas-fir (*Pseudotsuga menziesii var. menziesii*),Shorter needles and more cold-tolerant,Pollen in spring; cones mature in fall,New growth in spring; cones ripen by late summer.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Short, curved, blue-green needles",None,Spiraled around twig,1 inch,"Bluish-green, soft, flat",Tiny red pollen cones,Small hanging cones,"2–4 inches, hanging, with three-pointed bracts",Branch ends,Wind,Mildly resinous,Smooth and gray,"Thick, furrowed, dark brown",Sharp buds and hanging cones,Narrow pyramid,"Tall, narrow crown",Whorled,60–130 feet,Moderate,Dry mountain slopes,Rocky Mountains and Sierra Nevada,"3,000–9,000 feet","Cold winters, dry summers",Non-toxic
Seaside Alder,Alnus maritima,Betulaceae,No,No,Rarely,Rare native alder with late-season flowering.,Large leaves and cones that appear in fall.,It blooms in fall when other trees are done!,"Broad leaves, smooth bark, persistent woody cones.",Smooth Alder (*Alnus serrulata*),More southern distribution and later blooming,Catkins in late summer; seeds ripen in fall,Blooms in late summer to fall.,Deciduous,Simple,Alternate,Oval,2–5 inches,"Glossy, finely serrated, light green",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender late-season catkins,Small winged nutlets,0.5–1 inch cones,Tip of twigs,Wind,Neutral,Smooth and gray,Shallowly ridged gray-brown,Persistent catkins and slender twigs,Multi-stemmed shrub,Rounded small tree,Alternate,15–30 feet,Moderate,"Streambanks, wetlands",Southeastern U.S. (Delmarva Peninsula),Low elevations,"Mild winters, moist soils",Non-toxic
September Elm,Ulmus serotina,Ulmaceae,No,No,Rarely,Rare elm species native to the southeastern U.S.; unique for fall blooming.,Small elm with rough bark and fall flowers.,It blooms when school starts!,"Rough bark, asymmetrical leaves, and fall flowering.",Cedar Elm (*Ulmus crassifolia*),Later blooming and smoother leaf surface,Flowers in late summer; samaras in fall,Green summer foliage; yellow fall leaves; flowers in September.,Deciduous,Simple,Alternate,Oval with serrated edge,2–4 inches,"Smooth green above, finely toothed",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small clusters in leaf axils,"Flat, round samaras",Small samaras ~0.5 inch,Clusters on twigs,Wind,Neutral,Gray and smoothish,Dark and ridged,Zigzag twigs and corky ridges,Upright,Open crown,Alternate,30–50 feet,Moderate,Bottomlands and limestone soils,Southeastern U.S.,Low elevations,"Warm, humid",Non-toxic
Serbian Spruce,Picea omorika,Pinaceae,Yes,No,Yes,Narrow ornamental spruce with graceful form and contrasting needle colors.,Dark green tops and silvery undersides of needles.,It’s the spruce that sparkles on one side!,"Slender shape, drooping branchlets, bicolored needles.",Norway Spruce (*Picea abies*),Narrower form and upward-curving branches,Pollen in spring; cones mature by fall,New growth in spring; cones develop in summer.,Evergreen,Simple,Spiral,Needle-like,0.5–1 inch,"Dark green on top, silvery below",None,Spiraled on twigs,0.5–1 inch,"Flat, dark green above, silver-white below",Small reddish pollen cones,Small cylindrical cones,"1.5–3 inches, cylindrical",Hanging from branches,Wind,Mild spruce aroma,"Smooth, gray-brown",Flaky and dark gray,"Narrow crown, drooping branches",Narrow pyramid,Tall and slender,Horizontal with drooping tips,50–100 feet,Slow to moderate,Planted landscapes,"Balkans (Serbia, Bosnia); cultivated globally",Low to mid elevations,"Cool, moist, sheltered",Non-toxic
